,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
141,87194ad92ffffff,46.0,1.0,11.0,0.0,18.0,14.0,1.0,3.0,6.0,2.0,1.0,52.0,205.0,11.0,18.0,98.0,7.0,4.0
142,87194ad93ffffff,69.0,1.0,12.0,0.0,17.0,37.0,2.0,8.0,22.0,1.0,5.0,60.0,207.0,11.0,19.0,105.0,0.0,9.0
143,87194ad94ffffff,66.0,7.0,0.0,0.0,24.0,32.0,4.0,11.0,16.0,7.0,13.0,65.0,175.0,34.0,11.0,96.0,2.0,10.0
144,87194ad95ffffff,65.0,1.0,28.0,0.0,25.0,45.0,1.0,12.0,13.0,13.0,14.0,98.0,246.0,31.0,26.0,156.0,2.0,13.0
145,87194ad96ffffff,74.0,2.0,0.0,0.0,32.0,36.0,5.0,22.0,25.0,4.0,5.0,98.0,240.0,24.0,12.0,116.0,5.0,11.0
146,87194ad98ffffff,18.0,0.0,9.0,0.0,2.0,0.0,2.0,8.0,1.0,3.0,6.0,3.0,12.0,4.0,26.0,22.0,0.0,3.0
147,87194ad99ffffff,63.0,1.0,10.0,0.0,37.0,77.0,6.0,37.0,24.0,24.0,23.0,93.0,346.0,29.0,11.0,120.0,4.0,9.0
148,87194ad9affffff,16.0,0.0,38.0,0.0,3.0,8.0,0.0,4.0,2.0,3.0,2.0,15.0,72.0,13.0,6.0,36.0,1.0,3.0
149,87194ad9bffffff,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0
150,87194ad9cffffff,54.0,1.0,28.0,0.0,31.0,49.0,5.0,24.0,6.0,10.0,13.0,76.0,262.0,38.0,27.0,120.0,5.0,13.0
151,87194ad9dffffff,118.0,5.0,24.0,0.0,59.0,104.0,14.0,82.0,79.0,36.0,70.0,401.0,749.0,67.0,27.0,213.0,21.0,30.0
152,87194ad9effffff,57.0,3.0,9.0,0.0,29.0,61.0,1.0,22.0,14.0,14.0,25.0,90.0,319.0,25.0,16.0,96.0,3.0,11.0
153,87194ada0ffffff,85.0,11.0,18.0,0.0,104.0,139.0,29.0,124.0,76.0,55.0,86.0,306.0,971.0,90.0,82.0,238.0,24.0,49.0
154,87194ada1ffffff,99.0,7.0,45.0,0.0,89.0,111.0,8.0,98.0,55.0,46.0,69.0,320.0,1096.0,107.0,39.0,193.0,5.0,22.0
155,87194ada2ffffff,66.0,6.0,10.0,0.0,56.0,70.0,11.0,71.0,26.0,23.0,39.0,185.0,450.0,67.0,51.0,169.0,4.0,16.0
